,bus number,fromNode,fromNode_long,fromNode_lat,toNode,toNode_long,toNode_lat,weight,opp
530,62,way/651981590,103.9031062,1.4008667,way/620524556,103.9027959,1.4010222,,1
531,62,way/620524556,103.9027959,1.4010222,way/620524555,103.9024615,1.4011846,,1
532,62,way/620524555,103.9024615,1.4011846,way/582412268,103.9021709,1.401325,,1
533,62,way/582412268,103.9021709,1.401325,way/174765791,103.9020041,1.4014046,,1
534,62,way/174765791,103.9020041,1.4014046,way/74953804,103.9019955,1.4014905,,1
535,62,way/74953804,103.9019955,1.4014905,way/582412271,103.9021137,1.4016896,,1
536,62,way/582412271,103.9021137,1.4016896,way/198458261,103.902587,1.4024658,,1
537,62,way/198458261,103.902587,1.4024658,way/173767827,103.9029803,1.4031145,,1
538,62,way/173767827,103.9029803,1.4031145,Punggol Temp Int(65009),103.9025242,1.404107,,1
539,82,Punggol Temp Int(65009),103.9025242,1.404107,way/325024332,103.9026466,1.4033011,,0
540,82,way/325024332,103.9026466,1.4033011,way/173768002,103.9030095,1.4030891,,0
541,82,way/173768002,103.9030095,1.4030891,way/173767825,103.9028338,1.4027251,,0
542,82,way/173767825,103.9028338,1.4027251,way/620524552,103.9025689,1.4022679,,0
543,82,way/620524552,103.9025689,1.4022679,way/620524553,103.9023885,1.4019699,,0
544,82,way/620524553,103.9023885,1.4019699,way/582412270,103.9021917,1.4016477,,0
545,82,way/582412270,103.9021917,1.4016477,way/582412269,103.9022328,1.4014473,,0
546,82,way/582412269,103.9022328,1.4014473,way/651945728,103.9027605,1.4011827,,0
547,82,way/651945728,103.9027605,1.4011827,way/174765789,103.9033078,1.4009198,,0
548,82,way/174765789,103.9033078,1.4009198,Opp Blk 201A(65201),103.9035672,1.4008806,,0
549,82,Opp Blk 201A(65201),103.9035672,1.4008806,way/651945727,103.9037815,1.4006966,,0
550,82,way/651945727,103.9037815,1.4006966,way/620522274,103.9042503,1.4004709,,0
551,82,way/620522274,103.9042503,1.4004709,way/649801637,103.9045313,1.4003359,,0
552,82,way/649801637,103.9045313,1.4003359,way/582412284,103.9048535,1.4001667,,0
553,82,way/582412284,103.9048535,1.4001667,way/74477400,103.905091,1.4000273,,0
554,82,way/74477400,103.905091,1.4000273,way/174886182,103.9051238,1.3999013,,0
555,82,way/174886182,103.9051238,1.3999013,way/445282972,103.9050308,1.3996857,,0
556,82,way/445282972,103.9050308,1.3996857,Blk 102C( 65079),103.9047796,1.3988936,,0
557,82,Opp Blk 103A(65071),103.9041539,1.3984929,way/620522273,103.9045689,1.3990071,,1
558,82,way/620522273,103.9045689,1.3990071,way/620522272,103.904659,1.3992284,,1
559,82,way/620522272,103.904659,1.3992284,way/717055145,103.9047441,1.3994461,,1
560,82,way/717055145,103.9047441,1.3994461,way/620522271,103.9048002,1.3995832,,1
561,82,way/620522271,103.9048002,1.3995832,way/582412281,103.9048816,1.399756,,1
562,82,way/582412281,103.9048816,1.399756,way/582412285,103.9047973,1.3999896,,1
563,82,way/582412285,103.9047973,1.3999896,way/651981596,103.9042272,1.400287,,1
564,82,way/651981596,103.9042272,1.400287,Aft Punggol Rd(65209),103.9038676,1.4003315,,1
565,82,Aft Punggol Rd(65209),103.9038676,1.4003315,way/174886179,103.9036593,1.4005865,,1
566,82,way/174886179,103.9036593,1.4005865,way/651981593,103.9033769,1.4007313,,1
567,82,way/651981593,103.9033769,1.4007313,way/651981590,103.9031062,1.4008667,,1
568,82,way/651981590,103.9031062,1.4008667,way/620524556,103.9027959,1.4010222,,1
569,82,way/620524556,103.9027959,1.4010222,way/620524555,103.9024615,1.4011846,,1
570,82,way/620524555,103.9024615,1.4011846,way/582412268,103.9021709,1.401325,,1
571,82,way/582412268,103.9021709,1.401325,way/174765791,103.9020041,1.4014046,,1
572,82,way/174765791,103.9020041,1.4014046,way/74953804,103.9019955,1.4014905,,1
573,82,way/74953804,103.9019955,1.4014905,way/582412271,103.9021137,1.4016896,,1
574,82,way/582412271,103.9021137,1.4016896,way/198458261,103.902587,1.4024658,,1
575,82,way/198458261,103.902587,1.4024658,way/325024332,103.9026466,1.4033011,,1
576,82,way/325024332,103.9026466,1.4033011,Punggol Temp Int(65009),103.9025242,1.404107,,1
577,83,Punggol Temp Int(65009),103.9025242,1.404107,way/325024332,103.9026466,1.4033011,,0
578,83,way/325024332,103.9026466,1.4033011,way/173767827,103.9029803,1.4031145,,0
579,83,way/173767827,103.9029803,1.4031145,way/724076802,103.9031708,1.4034225,,0
